"adm_03","rowcacode3","year","peak_ndvi","mean_ndvi","standardDeviation_ndvi","baselineMean_ndvi","baselineSD_ndvi","zscore_ndvi"
"Chetimari","NER002002001",1982,0.418697368421053,0.169304623159228,0.0611519268617906,0.364361265124883,0.0648137524565063,0.838342191846281
"Gueskérou","NER002002003",1982,0.3625,0.151880064468407,0.0512654306714817,0.328528406746659,0.0752592419843138,0.451394305305675
"Diffa","NER002002002",1982,0.3961,0.164486163522013,0.0552313225240775,0.369658620689655,0.0804184081504858,0.328797596451617
"Goudoumaria","NER002003001",1982,0.347933333333333,0.165555359050775,0.0477760669215397,0.286670402802194,0.0332191815475857,1.84420348958271
"Maïné Soroa","NER002004002",1982,0.4407,0.180664471000278,0.0661911183171318,0.320495120248684,0.0557367091969635,2.1566554876165
"Foulatari","NER002004001",1982,0.3654,0.16687460815047,0.0541768715397101,0.294627586206897,0.0369037638087395,1.91775598174469
"N'Guelbely","NER002004003",1982,0.347701209677419,0.151786918557999,0.0449585369078991,0.286384765857271,0.049803205217383,1.23117465136051
"N'Gourti","NER002005001",1982,0.133859375,0.104615226864931,0.012675475804773,0.161815148472412,0.078493222513278,-0.356155252355493
"Kablewa","NER002006001",1982,0.2852,0.137340118824666,0.0363224596721536,0.260044255936321,0.0689309682662142,0.364941109872795
"N'Guigmi","NER002006002",1982,0.3371,0.141938572066842,0.0415877325633347,0.337348096499061,0.106587803749841,-0.00232762558503503
"Birni N'Gaouré","NER003001001",1982,0.391,0.185549538461538,0.0578399172373275,0.351313793103448,0.0340858236571193,1.16430241779599
"Kankandi","NER003001005",1982,0.4324,0.189515076923077,0.0602976064703971,0.392262068965517,0.0591343833616831,0.678757919719692
"Fabidji","NER003001002",1982,0.3963,0.192716871165644,0.0616742833130655,0.375513793103448,0.0549389903447317,0.378350726253291
"Fakara","NER003001003",1982,0.3889,0.182449079754601,0.0614811489488739,0.366537931034483,0.0374725176800384,0.59675918112728
"Koygolo","NER003001007",1982,0.3465,0.175577846153846,0.0521229120875113,0.323337931034483,0.0466417303479643,0.496595404859978
"Kiota","NER003001006",1982,0.373,0.179392769230769,0.0561759019637735,0.335548275862069,0.0395212386001832,0.947635384528596
"Harikanassou","NER003001004",1982,0.3644,0.178115692307692,0.0548925316483876,0.339572413793103,0.0403809174925106,0.614834623594208
"N'Gonga","NER003001008",1982,0.3609,0.181430615384615,0.0563156401065262,0.340437931034483,0.0374935176663257,0.545749511892158
"Dioundiou","NER003002001",1982,0.4361,0.201056615384615,0.0729496460504052,0.448248275862069,0.0419518313978719,-0.289576770721986
"Zabori","NER003002003",1982,0.3886,0.193628086419753,0.0637628960892548,0.394062068965517,0.0493655925127809,-0.110645262975485
"Karakara","NER003002002",1982,0.3834,0.19261,0.0621037003629046,0.379920689655172,0.0417794582071,0.0832780149417134
"Matankari","NER003003005",1982,0.2805,0.15870473276216,0.0402096416187501,0.309780673207746,0.0520192144439457,-0.562881879719624
"Dogondoutchi","NER003003002",1982,0.3012,0.167738888888889,0.0453889237180706,0.334320689655172,0.0461635630844311,-0.717463892347221
"Dan-Kassari","NER003003001",1982,0.30655,0.166109825279005,0.0478513688663874,0.314479011480865,0.0307830011910778,-0.25757759718255
"Kiéché","NER003003004",1982,0.315,0.171070216049383,0.0488335406320825,0.350318965517241,0.102245927629167,-0.345431513373706
"Soucoucoutane","NER003003006",1982,0.2658,0.144660185185185,0.0374904337184706,0.29523275862069,0.0973008976943082,-0.30249215904625
"Dogonkiria","NER003003003",1982,0.257823364485981,0.142436633789817,0.0353482957096636,0.277624222042496,0.0470462329798867,-0.420880829395628
"Sambéra","NER003004008",1982,0.506,0.215202461538462,0.0832253789274992,0.494429310344828,0.0353176946678325,0.327617353397389
"Gollé","NER003004004",1982,0.4636,0.204962615384615,0.070595276620335,0.452413793103448,0.053037033719966,0.210913132050607
"Farey","NER003004002",1982,0.4589,0.205355674913364,0.0724624385595672,0.449410998640524,0.0535902178303583,0.177065922544183
"Tessa","NER003004009",1982,0.4116,0.195088769230769,0.0645881558894243,0.406513793103448,0.0656412203036755,0.0774849534030815
