"adm_03","rowcacode3","year","total_precip","mean_precip","median_precip","sd_precip"
"Tirmini","NER007008003",1990,278.44896005992,3.86734666749889,0.18438746466139,7.21384485165419
"Tirmini","NER007008003",1991,329.787201726086,4.5803778017512,0.179756379441216,7.95205497877772
"Tirmini","NER007008003",1992,364.207591699874,5.05843877360936,0.182866250434718,9.37017360970812
"Tirmini","NER007008003",1993,302.113589760296,4.19602208000411,0.182992146710262,9.47106524756798
"Tirmini","NER007008003",1994,422.220487298102,5.86417343469585,0.2026513184696,11.5217629556158
"Tirmini","NER007008003",1995,365.866765535549,5.08148285466041,0.18377854875609,8.48552481841286
"Tirmini","NER007008003",1996,284.675515681908,3.95382660669316,0.181164595052152,7.75200088255685
"Tirmini","NER007008003",1997,334.630757141968,4.64764940474956,0.1834692302216,7.59280380003339
"Tirmini","NER007008003",1998,409.471355989787,5.68710216652482,0.181796848166299,10.8065372120111
"Tirmini","NER007008003",1999,454.426098589185,6.31147359151645,0.182376195747599,11.4516916404173
"Tirmini","NER007008003",2000,334.173128369276,4.64129344957327,0.183038904884386,8.65802286381901
"Tirmini","NER007008003",2001,479.167698864793,6.65510692867768,0.182595685280997,12.2260488529241
"Tirmini","NER007008003",2002,416.332956019733,5.78240216694074,0.181206465550456,10.439343802499
"Tirmini","NER007008003",2003,467.898940870236,6.4985964009755,0.202451198483117,11.4446002710424
"Tirmini","NER007008003",2004,370.707803102057,5.14871948752857,0.181210498910731,10.0149014347354
"Tirmini","NER007008003",2005,400.063554940941,5.55643826306863,0.182595664804744,9.38427312731745
"Tirmini","NER007008003",2006,378.466896276382,5.2564846705053,0.182595627411701,10.6057778600944
"Tirmini","NER007008003",2007,305.942461463492,4.24920085365961,0.185308673589644,8.66971080179077
"Tirmini","NER007008003",2008,445.739003907506,6.19081949871535,0.182684275058696,12.0031457304934
"Tirmini","NER007008003",2009,278.637187339307,3.86996093526815,0.182589215121532,5.93046667608678
"Tirmini","NER007008003",2010,424.903202536511,5.90143336856265,0.188153150988807,10.2815016866377
"Tirmini","NER007008003",2011,372.501166282708,5.17362730948206,0.188159813558241,10.0015596323891
"Tirmini","NER007008003",2012,484.581033489982,6.73029213180531,0.197042927305341,11.1528234331974
"Tirmini","NER007008003",2013,384.838690474532,5.34498181214627,0.208875702856367,10.2119924474829
"Tirmini","NER007008003",2014,344.98963883315,4.79152276157153,0.188070158592311,8.84441439085531
"Tirmini","NER007008003",2015,374.860617103865,5.20639745977591,0.188226541149107,10.3966073336927
"Tirmini","NER007008003",2016,320.743250017227,4.45476736135037,0.188145206792118,7.24476255784309
"Tirmini","NER007008003",2017,325.123660149532,4.51560639096572,0.181104609664651,8.36877544701104
"Tirmini","NER007008003",2018,459.106643944372,6.37648116589405,0.186325699292844,12.8665506619523
"Tirmini","NER007008003",2019,451.399682833303,6.26944003935143,0.208837882420114,11.0951949762366
"Tirmini","NER007008003",2020,465.985515314713,6.47202104603768,0.188055411522523,11.6506143919594
"Tirmini","NER007008003",2021,387.120698676805,5.37667637051119,0.188141468944901,9.94376510240534
"Tirmini","NER007008003",2022,2.42735050851212,0.101139604521338,0.049177750322371,0.126498617397214
"Dakoussa","NER007008001",1981,265.385145274635,3.68590479548104,0.155445125391183,8.11642418928806
"Dakoussa","NER007008001",1982,309.088898978435,4.29290137470048,0.154345450570396,10.0447999758991
"Dakoussa","NER007008001",1983,260.968449995117,3.62456180548774,0.167524754643865,8.56897746820624
"Dakoussa","NER007008001",1984,127.213078530787,1.76684831292759,0.173754706995727,4.6193003714984
"Dakoussa","NER007008001",1985,274.751294941716,3.81599020752383,0.179461066526859,7.75699130448469
"Dakoussa","NER007008001",1986,333.713734000667,4.63491297223148,0.15620874397063,8.55335501834693
"Dakoussa","NER007008001",1987,210.455707213691,2.92299593352348,0.157599321493161,5.79591890371813
"Dakoussa","NER007008001",1988,386.457930783675,5.36747126088437,0.157759144171388,11.9294671692894
"Dakoussa","NER007008001",1989,326.406753484405,4.53342713172784,0.157762001989606,9.84162553628313
"Dakoussa","NER007008001",1990,245.539088751979,3.41026512155526,0.164097388345161,6.89408608520288
"Dakoussa","NER007008001",1991,331.150934724907,4.59931853784593,0.158532404038151,8.29438005704879
"Dakoussa","NER007008001",1992,319.290051325072,4.43458404618156,0.158625864017205,8.46180492955821
"Dakoussa","NER007008001",1993,275.963097328635,3.83282079623104,0.154475589190441,9.36725039306912
"Dakoussa","NER007008001",1994,392.902936861809,5.4569852341918,0.176203130303141,10.529250805611
"Dakoussa","NER007008001",1995,326.936990946141,4.54079154091863,0.160245065028554,7.96088346150591
"Dakoussa","NER007008001",1996,241.728784209151,3.35734422512709,0.157179849597128,6.35881774827519
"Dakoussa","NER007008001",1997,243.37528092994,3.38021223513806,0.158878613914017,5.57477020730409
