"admin2Name","admin2Pcod","year","yeartotal_precip"
"Maïné Soroa","NE0204",2015,238.579285022291
"Maïné Soroa","NE0204",2016,324.974865718771
"Maïné Soroa","NE0204",2017,236.403203465825
"Maïné Soroa","NE0204",2018,313.081586452204
"Maïné Soroa","NE0204",2019,344.236120848331
"Maïné Soroa","NE0204",2020,287.513927815936
"Maïné Soroa","NE0204",2021,313.014906606574
"N'Gourti","NE0205",1981,14.2533275337058
"N'Gourti","NE0205",1982,11.3234131040069
"N'Gourti","NE0205",1983,10.8334401204551
"N'Gourti","NE0205",1984,8.78472947948989
"N'Gourti","NE0205",1985,11.8514540688242
"N'Gourti","NE0205",1986,12.1106080285769
"N'Gourti","NE0205",1987,8.66055888114723
"N'Gourti","NE0205",1988,25.1728604562375
"N'Gourti","NE0205",1989,14.2845206439548
"N'Gourti","NE0205",1990,11.1862460747351
"N'Gourti","NE0205",1991,13.6315014037861
"N'Gourti","NE0205",1992,16.25998630213
"N'Gourti","NE0205",1993,11.577610322067
"N'Gourti","NE0205",1994,24.9183511875793
"N'Gourti","NE0205",1995,18.4687512065881
"N'Gourti","NE0205",1996,11.6455052075433
"N'Gourti","NE0205",1997,14.5521943089839
"N'Gourti","NE0205",1998,18.0615452782544
"N'Gourti","NE0205",1999,34.7376237743715
"N'Gourti","NE0205",2000,16.3861445665371
"N'Gourti","NE0205",2001,10.2807750002666
"N'Gourti","NE0205",2002,14.5517284968074
"N'Gourti","NE0205",2003,20.1029356832321
"N'Gourti","NE0205",2004,13.245001877856
"N'Gourti","NE0205",2005,23.9783522153808
"N'Gourti","NE0205",2006,13.6399414772505
"N'Gourti","NE0205",2007,21.569613715865
"N'Gourti","NE0205",2008,20.4875891507535
"N'Gourti","NE0205",2009,16.4778554877644
"N'Gourti","NE0205",2010,24.1421803223382
"N'Gourti","NE0205",2011,13.2810807074601
"N'Gourti","NE0205",2012,16.8400745150776
"N'Gourti","NE0205",2013,17.9905305315561
"N'Gourti","NE0205",2014,13.7995239515077
"N'Gourti","NE0205",2015,15.9775527382615
"N'Gourti","NE0205",2016,29.835992924214
"N'Gourti","NE0205",2017,17.7940545429634
"N'Gourti","NE0205",2018,23.8474286146833
"N'Gourti","NE0205",2019,24.8885211458897
"N'Gourti","NE0205",2020,24.7019125923211
"N'Gourti","NE0205",2021,24.6712766022469
"N'Guigmi","NE0206",1981,146.739989028532
"N'Guigmi","NE0206",1982,158.211910192271
"N'Guigmi","NE0206",1983,102.997072126127
"N'Guigmi","NE0206",1984,69.5478562554426
"N'Guigmi","NE0206",1985,189.781795973753
"N'Guigmi","NE0206",1986,161.92718859552
"N'Guigmi","NE0206",1987,124.345762253059
"N'Guigmi","NE0206",1988,302.535938352536
"N'Guigmi","NE0206",1989,160.556455967429
"N'Guigmi","NE0206",1990,164.61151568695
"N'Guigmi","NE0206",1991,195.691103769274
"N'Guigmi","NE0206",1992,220.621796407769
"N'Guigmi","NE0206",1993,197.465624475699
"N'Guigmi","NE0206",1994,304.481924881619
"N'Guigmi","NE0206",1995,206.633119983516
"N'Guigmi","NE0206",1996,143.530883323064
"N'Guigmi","NE0206",1997,153.207541314392
"N'Guigmi","NE0206",1998,220.888567287905
"N'Guigmi","NE0206",1999,291.55880601398
"N'Guigmi","NE0206",2000,136.354552412656
"N'Guigmi","NE0206",2001,147.073691420182
"N'Guigmi","NE0206",2002,148.519230192704
"N'Guigmi","NE0206",2003,271.503750802784
"N'Guigmi","NE0206",2004,165.605430264946
"N'Guigmi","NE0206",2005,212.818147430251
"N'Guigmi","NE0206",2006,181.101567324531
"N'Guigmi","NE0206",2007,262.290384869741
"N'Guigmi","NE0206",2008,190.083614989053
"N'Guigmi","NE0206",2009,127.310627845311
"N'Guigmi","NE0206",2010,200.440640946382
"N'Guigmi","NE0206",2011,196.195888622847
"N'Guigmi","NE0206",2012,338.569211829154
"N'Guigmi","NE0206",2013,200.591913753309
"N'Guigmi","NE0206",2014,169.275965990549
"N'Guigmi","NE0206",2015,184.602106354788
"N'Guigmi","NE0206",2016,239.262501044881
"N'Guigmi","NE0206",2017,177.21842364366
"N'Guigmi","NE0206",2018,284.215169084692
"N'Guigmi","NE0206",2019,261.141200606189
"N'Guigmi","NE0206",2020,255.442643263532
"N'Guigmi","NE0206",2021,217.773716548813
"Boboye","NE0301",1981,449.841511300903
"Boboye","NE0301",1982,367.034458660916
"Boboye","NE0301",1983,420.409337817359
"Boboye","NE0301",1984,304.638315703035
"Boboye","NE0301",1985,461.955734734437
"Boboye","NE0301",1986,496.73888305836
"Boboye","NE0301",1987,413.12478257478
"Boboye","NE0301",1988,624.855158638754
"Boboye","NE0301",1989,518.729639230668
"Boboye","NE0301",1990,407.833661663025
