"admin1Name","admin1Pcod","admin2Name","admin2Pcod","year","peak_ndvi","mean_ndvi","standardDeviation_ndvi","baselineMean_ndvi","baselineSD_ndvi","zscore_ndvi"
"Zinder","NE07","Tanout","NE0709",1999,0.291838461538462,0.158006787467997,0.0392357326785954,0.236215454305854,0.0751330573787846,0.740326684061103
"Zinder","NE07","Tesker","NE0710",1999,0.168334,0.130308860942732,0.018631133404805,0.17799944795074,0.0862315328383248,-0.112087163855269
"Zinder","NE07","Ville de Zinder","NE0711",1999,0.3389,0.177021367521368,0.0520615994964095,0.302393103448276,0.0549543247422964,0.664313440714996
"Niamey","NE08","Ville de Niamey","NE0801",1999,0.2912,0.167174571428571,0.0445957128397338,0.284224137931035,0.0607537515312689,0.114821914583746
"Agadez","NE01","Aderbissinat","NE0101",2000,0.173526420168067,0.125196992958923,0.0161379160025609,0.180211308096059,0.0979608066997904,-0.0682404336305434
"Agadez","NE01","Arlit","NE0102",2000,0.165149727479933,0.128852858873475,0.0182401455521788,0.185451635283366,0.127629955921426,-0.159068516923498
"Agadez","NE01","Bilma","NE0103",2000,0.154557445824524,0.123367829448958,0.0139057355691468,0.177781839002101,0.112754911418814,-0.205972342005685
"Agadez","NE01","Iferouane","NE0104",2000,0.157143919376974,0.124843620968038,0.0151703301849469,0.172324131546581,0.109144829976844,-0.139083199569121
"Agadez","NE01","Ingall","NE0105",2000,0.171386555786556,0.133777990278141,0.018932514441445,0.194748929781735,0.151047832889221,-0.15466871353469
"Agadez","NE01","Tchirozerine","NE0106",2000,0.161025410872314,0.122173982039484,0.0175596592417058,0.174576386542067,0.0788631845746176,-0.171828917927237
"Diffa","NE02","Bosso","NE0201",2000,0.3498,0.174236388888889,0.0500584926191589,0.374668965517241,0.0851376075347949,-0.292103175521789
"Diffa","NE02","Diffa","NE0202",2000,0.381393085106383,0.171340678407371,0.0514853610418991,0.342494252498139,0.0676912266174965,0.574651022769167
"Diffa","NE02","Goudoumaria","NE0203",2000,0.277333333333333,0.166502538429405,0.0341094498536764,0.286670402802194,0.0332191815475857,-0.2810746392257
"Diffa","NE02","Maïné Soroa","NE0204",2000,0.263569844020797,0.161444340354035,0.0335509824383078,0.292313031342947,0.041098561099268,-0.699372108252765
"Diffa","NE02","N'Gourti","NE0205",2000,0.152118047275023,0.111068469454512,0.0156222012808587,0.161815148472412,0.078493222513278,-0.123540617736123
"Diffa","NE02","N'Guigmi","NE0206",2000,0.231476766256591,0.143491184632511,0.0282688109970228,0.262923740186671,0.0694140380345581,-0.45303478691766
"Dosso","NE03","Boboye","NE0301",2000,0.328726128016789,0.182492515905485,0.0534372306247607,0.352858443633105,0.0590223808347471,-0.408867200458797
"Dosso","NE03","Dioundiou","NE0302",2000,0.444380485338726,0.20661762343216,0.0728460630715151,0.408148346772153,0.0425914633213494,0.850690155752681
"Dosso","NE03","Dogondoutchi","NE0303",2000,0.3461,0.168215387648791,0.0474883722068038,0.294386488026791,0.0467128574930579,1.10705092234819
"Dosso","NE03","Dosso","NE0304",2000,0.386543968531468,0.19467397605666,0.0607283941151849,0.384847351750838,0.0638889535267699,0.0265557140471707
"Dosso","NE03","Falmey","NE0305",2000,0.4088,0.209365739459777,0.0756587143818315,0.430916607623441,0.0415244153016136,-0.532616954695124
"Dosso","NE03","Gaya","NE0306",2000,0.47918,0.219986395088661,0.0878051978532537,0.484770746637419,0.0251393645797655,-0.222390133198456
"Dosso","NE03","Loga","NE0307",2000,0.3589,0.181946994078987,0.0519404446573304,0.332700579505896,0.0345799816594683,0.757647032670718
"Dosso","NE03","Tibiri","NE0308",2000,0.3617,0.18304712654689,0.0548564578266179,0.346118889619715,0.0856881015661658,0.181835168424798
"Maradi","NE04","Aguié","NE0401",2000,0.382754545454545,0.200594195541068,0.0623661888888173,0.347157841500467,0.117389950058926,0.303234680108554
"Maradi","NE04","Bermo","NE0402",2000,0.3786,0.169549347853229,0.0473702571758671,0.300274281518461,0.0570465761698136,1.3730134872316
"Maradi","NE04","Dakoro","NE0403",2000,0.344343559959002,0.180374299062525,0.0465467758535287,0.29937487795186,0.0950528508591281,0.47309135497458
"Maradi","NE04","Gazaoua","NE0404",2000,0.375,0.2017275,0.0631826396626113,0.358786206896552,0.118533276593953,0.136786846439673
"Maradi","NE04","Guidan Roumdji","NE0405",2000,0.3776,0.197343320501033,0.0627251960937778,0.327486151735528,0.0397088642546464,1.26203177061676
