"adm_03","rowcacode3","year","AnnualPrecip","baselineMean_precip","baselineSD_precip","zscore_precip"
"Gougaram","NER001002003",1981,58.5659850385535,52.2084544860799,17.2618985545812,0.368298454099441
"Gougaram","NER001002003",1982,33.9857988600121,52.2084544860799,17.2618985545812,-1.05565767105216
"Gougaram","NER001002003",1983,29.8772280223172,52.2084544860799,17.2618985545812,-1.2936715155145
"Gougaram","NER001002003",1984,29.7060818121502,52.2084544860799,17.2618985545812,-1.30358619608256
"Gougaram","NER001002003",1985,40.9444229858562,52.2084544860799,17.2618985545812,-0.652537231904557
"Gougaram","NER001002003",1986,48.4161974853821,52.2084544860799,17.2618985545812,-0.2196894500745
"Gougaram","NER001002003",1987,40.9741470246164,52.2084544860799,17.2618985545812,-0.650815286970967
"Gougaram","NER001002003",1988,53.4256696643644,52.2084544860799,17.2618985545812,0.0705145598229398
"Gougaram","NER001002003",1989,55.2106326576495,52.2084544860799,17.2618985545812,0.173919349721404
"Gougaram","NER001002003",1990,27.8519691808401,52.2084544860799,17.2618985545812,-1.41099689748644
"Gougaram","NER001002003",1991,51.4697859253112,52.2084544860799,17.2618985545812,-0.0427918492530273
"Gougaram","NER001002003",1992,49.0731052301805,52.2084544860799,17.2618985545812,-0.181634091174015
"Gougaram","NER001002003",1993,36.3240854517334,52.2084544860799,17.2618985545812,-0.920198261165823
"Gougaram","NER001002003",1994,72.8006672991096,52.2084544860799,17.2618985545812,1.1929286195211
"Gougaram","NER001002003",1995,48.5808360577914,52.2084544860799,17.2618985545812,-0.210151763829343
"Gougaram","NER001002003",1996,28.6859341231829,52.2084544860799,17.2618985545812,-1.36268442828117
"Gougaram","NER001002003",1997,89.8763404931979,52.2084544860799,17.2618985545812,2.18214038786141
"Gougaram","NER001002003",1998,93.0776214489672,52.2084544860799,17.2618985545812,2.36759397198757
"Gougaram","NER001002003",1999,84.3038341217082,52.2084544860799,17.2618985545812,1.85931921301382
"Gougaram","NER001002003",2000,53.3635218671855,52.2084544860799,17.2618985545812,0.0669142723468936
"Gougaram","NER001002003",2001,60.2612610089919,52.2084544860799,17.2618985545812,0.466507580116376
"Gougaram","NER001002003",2002,53.459358764152,52.2084544860799,17.2618985545812,0.0724662049262347
"Gougaram","NER001002003",2003,67.6262324355542,52.2084544860799,17.2618985545812,0.89316814721881
