"admin2Name","admin2Pcod","year","AnnualPrecip","baselineMean_precip","baselineSD_precip","zscore_precip"
"Torodi","NE0613",2001,501.006619034573,505.070944653608,88.3211875734161,-0.0460175607994071
"Torodi","NE0613",2002,495.965156595147,505.070944653608,88.3211875734161,-0.103098569082219
"Torodi","NE0613",2003,599.35211173915,505.070944653608,88.3211875734161,1.06748074472132
"Torodi","NE0613",2004,476.903307127461,505.070944653608,88.3211875734161,-0.318922767005745
"Torodi","NE0613",2005,576.302670608013,505.070944653608,88.3211875734161,0.806507791748085
"Torodi","NE0613",2006,465.014471139066,505.070944653608,88.3211875734161,-0.453531871740803
"Torodi","NE0613",2007,516.18991689761,505.070944653608,88.3211875734161,0.12589246758892
"Torodi","NE0613",2008,492.887468602792,505.070944653608,88.3211875734161,-0.137945111309662
"Torodi","NE0613",2009,464.846940880844,505.070944653608,88.3211875734161,-0.455428701514327
"Torodi","NE0613",2010,522.247598809537,505.070944653608,88.3211875734161,0.194479429317578
"Torodi","NE0613",2011,442.949263467723,505.070944653608,88.3211875734161,-0.703361026868525
"Torodi","NE0613",2012,573.035973462247,505.070944653608,88.3211875734161,0.769521229004571
"Torodi","NE0613",2013,517.429866586768,505.070944653608,88.3211875734161,0.139931564245396
"Torodi","NE0613",2014,508.337412039181,505.070944653608,88.3211875734161,0.0369839613270358
"Torodi","NE0613",2015,618.974499808212,505.070944653608,88.3211875734161,1.28965153531164
"Torodi","NE0613",2016,530.06621586972,505.070944653608,88.3211875734161,0.283004247370818
"Torodi","NE0613",2017,529.087707948248,505.070944653608,88.3211875734161,0.271925275853832
"Torodi","NE0613",2018,489.976629619817,505.070944653608,88.3211875734161,-0.170902537075196
"Torodi","NE0613",2019,500.963838695582,505.070944653608,88.3211875734161,-0.0465019331246225
"Torodi","NE0613",2020,692.3426339117,505.070944653608,88.3211875734161,2.12034840566907
"Torodi","NE0613",2021,525.630777133148,505.070944653608,88.3211875734161,0.232784828243496
"Belbedji","NE0701",1981,200.431728627454,205.976883178926,55.848482377114,-0.0992892611481998
"Belbedji","NE0701",1982,152.270345795503,205.976883178926,55.848482377114,-0.96164721219768
"Belbedji","NE0701",1983,133.215016469511,205.976883178926,55.848482377114,-1.30284411701814
"Belbedji","NE0701",1984,72.5903841430395,205.976883178926,55.848482377114,-2.38836389743235
"Belbedji","NE0701",1985,193.677083195779,205.976883178926,55.848482377114,-0.220235169509045
"Belbedji","NE0701",1986,213.695978389215,205.976883178926,55.848482377114,0.13821495019625
"Belbedji","NE0701",1987,151.336193209807,205.976883178926,55.848482377114,-0.978373764933489
"Belbedji","NE0701",1988,277.449871678538,205.976883178926,55.848482377114,1.27976599286967
"Belbedji","NE0701",1989,197.418182837186,205.976883178926,55.848482377114,-0.153248575027477
"Belbedji","NE0701",1990,144.236333748164,205.976883178926,55.848482377114,-1.1055009340068
"Belbedji","NE0701",1991,209.182746134622,205.976883178926,55.848482377114,0.057402866098477
"Belbedji","NE0701",1992,199.853837990837,205.976883178926,55.848482377114,-0.109636733667061
"Belbedji","NE0701",1993,171.733215340743,205.976883178926,55.848482377114,-0.613153059504006
"Belbedji","NE0701",1994,259.349211699083,205.976883178926,55.848482377114,0.955663005482636
"Belbedji","NE0701",1995,204.506490029289,205.976883178926,55.848482377114,-0.0263282561504142
"Belbedji","NE0701",1996,128.359860141799,205.976883178926,55.848482377114,-1.38977855321156
"Belbedji","NE0701",1997,176.789715114358,205.976883178926,55.848482377114,-0.522613450218445
"Belbedji","NE0701",1998,244.38718238928,205.976883178926,55.848482377114,0.687759050478591
"Belbedji","NE0701",1999,344.311229345992,205.976883178926,55.848482377114,2.47695801710369
"Belbedji","NE0701",2000,184.733234159233,205.976883178926,55.848482377114,-0.380380058964657
"Belbedji","NE0701",2001,259.596539432264,205.976883178926,55.848482377114,0.960091554346522
"Belbedji","NE0701",2002,225.349834553302,205.976883178926,55.848482377114,0.346884114837015
"Belbedji","NE0701",2003,292.980272595417,205.976883178926,55.848482377114,1.55784697655713
"Belbedji","NE0701",2004,192.468159044275,205.976883178926,55.848482377114,-0.241881669110248
"Belbedji","NE0701",2005,232.450659258608,205.976883178926,55.848482377114,0.474028567167134
"Belbedji","NE0701",2006,237.258294120176,205.976883178926,55.848482377114,0.560112103495024
"Belbedji","NE0701",2007,199.348388149752,205.976883178926,55.848482377114,-0.118687111037595
"Belbedji","NE0701",2008,255.410035172366,205.976883178926,55.848482377114,0.885129727601998
"Belbedji","NE0701",2009,162.472167020055,205.976883178926,55.848482377114,-0.778977589133174
"Belbedji","NE0701",2010,262.444305582128,205.976883178926,55.848482377114,1.01108248603622
"Belbedji","NE0701",2011,230.878999469778,205.976883178926,55.848482377114,0.445887072144621
"Belbedji","NE0701",2012,230.797837528004,205.976883178926,55.848482377114,0.444433819731681
"Belbedji","NE0701",2013,219.123808437566,205.976883178926,55.848482377114,0.235403446952531
"Belbedji","NE0701",2014,209.039371464542,205.976883178926,55.848482377114,0.0548356581104036
"Belbedji","NE0701",2015,206.061535100024,205.976883178926,55.848482377114,0.00151574255011224
"Belbedji","NE0701",2016,203.916332695077,205.976883178926,55.848482377114,-0.0368953711210103
"Belbedji","NE0701",2017,198.094063427716,205.976883178926,55.848482377114,-0.141146534618108
"Belbedji","NE0701",2018,249.192132943592,205.976883178926,55.848482377114,0.773794522702643
"Belbedji","NE0701",2019,216.349910342155,205.976883178926,55.848482377114,0.185735166323508
"Belbedji","NE0701",2020,239.938580381047,205.976883178926,55.848482377114,0.60810420904182
"Belbedji","NE0701",2021,257.842451519648,205.976883178926,55.848482377114,0.928683576225081
"Damagaram Takaya","NE0702",1981,206.224587616559,275.572848615322,66.5431524655322,-1.04215472861289
"Damagaram Takaya","NE0702",1982,262.082195241321,275.572848615322,66.5431524655322,-0.202735411145262
"Damagaram Takaya","NE0702",1983,241.843851933489,275.572848615322,66.5431524655322,-0.506874042363767
"Damagaram Takaya","NE0702",1984,88.9149739369598,275.572848615322,66.5431524655322,-2.80506510080127
"Damagaram Takaya","NE0702",1985,238.919124467675,275.572848615322,66.5431524655322,-0.550826385429105
"Damagaram Takaya","NE0702",1986,295.948479059743,275.572848615322,66.5431524655322,0.306201760654111
"Damagaram Takaya","NE0702",1987,177.901910937013,275.572848615322,66.5431524655322,-1.46778344667244
"Damagaram Takaya","NE0702",1988,330.68702729084,275.572848615322,66.5431524655322,0.828247184472748
"Damagaram Takaya","NE0702",1989,267.623622995201,275.572848615322,66.5431524655322,-0.119459708859431
"Damagaram Takaya","NE0702",1990,223.778975869709,275.572848615322,66.5431524655322,-0.778350150640086
"Damagaram Takaya","NE0702",1991,317.464762101175,275.572848615322,66.5431524655322,0.629545068631242
"Damagaram Takaya","NE0702",1992,245.488076409394,275.572848615322,66.5431524655322,-0.452109211710571
"Damagaram Takaya","NE0702",1993,263.629525393225,275.572848615322,66.5431524655322,-0.179482377668891
"Damagaram Takaya","NE0702",1994,396.495234139619,275.572848615322,66.5431524655322,1.81720253766054
"Damagaram Takaya","NE0702",1995,264.227887862366,275.572848615322,66.5431524655322,-0.170490280856957
"Damagaram Takaya","NE0702",1996,223.873357046791,275.572848615322,66.5431524655322,-0.776931805196785
"Damagaram Takaya","NE0702",1997,236.554789783073,275.572848615322,66.5431524655322,-0.586357234164099
"Damagaram Takaya","NE0702",1998,307.533262441458,275.572848615322,66.5431524655322,0.480296058150992
"Damagaram Takaya","NE0702",1999,355.653155311166,275.572848615322,66.5431524655322,1.20343421867973
"Damagaram Takaya","NE0702",2000,250.800054530641,275.572848615322,66.5431524655322,-0.372281642314932
"Damagaram Takaya","NE0702",2001,349.258995364962,275.572848615322,66.5431524655322,1.10734379150142
"Damagaram Takaya","NE0702",2002,315.647375262044,275.572848615322,66.5431524655322,0.602233665852842
"Damagaram Takaya","NE0702",2003,403.528185598811,275.572848615322,66.5431524655322,1.92289262294519
"Damagaram Takaya","NE0702",2004,272.944371299614,275.572848615322,66.5431524655322,-0.0395003425344056
"Damagaram Takaya","NE0702",2005,322.360019696406,275.572848615322,66.5431524655322,0.7031102276875
"Damagaram Takaya","NE0702",2006,303.402702729818,275.572848615322,66.5431524655322,0.418222658280448
"Damagaram Takaya","NE0702",2007,248.070879699251,275.572848615322,66.5431524655322,-0.413295251232892
"Damagaram Takaya","NE0702",2008,325.128202807165,275.572848615322,66.5431524655322,0.744710046875387
"Damagaram Takaya","NE0702",2009,192.205077699107,275.572848615322,66.5431524655322,-1.25283771248135
"Damagaram Takaya","NE0702",2010,338.994793935065,275.572848615322,66.5431524655322,0.95309499129296
"Damagaram Takaya","NE0702",2011,296.399224655051,275.572848615322,66.5431524655322,0.312975494368355
"Damagaram Takaya","NE0702",2012,384.934376510398,275.572848615322,66.5431524655322,1.64346779259853
"Damagaram Takaya","NE0702",2013,308.287343432759,275.572848615322,66.5431524655322,0.491628268353864
"Damagaram Takaya","NE0702",2014,277.180257150881,275.572848615322,66.5431524655322,0.0241558819503143
"Damagaram Takaya","NE0702",2015,293.068007780149,275.572848615322,66.5431524655322,0.262914492575163
"Damagaram Takaya","NE0702",2016,282.831071285133,275.572848615322,66.5431524655322,0.109075425507835
"Damagaram Takaya","NE0702",2017,276.530257307697,275.572848615322,66.5431524655322,0.0143877868255593
"Damagaram Takaya","NE0702",2018,340.176235474301,275.572848615322,66.5431524655322,0.970849508406471
"Damagaram Takaya","NE0702",2019,375.988804999779,275.572848615322,66.5431524655322,1.50903515484137
"Damagaram Takaya","NE0702",2020,331.975090825145,275.572848615322,66.5431524655322,0.84760400011162
"Damagaram Takaya","NE0702",2021,332.056578137567,275.572848615322,66.5431524655322,0.848828578590443
"Dungass","NE0703",1981,406.949345386503,407.342876340949,80.9005343491786,-0.00486438016276772
"Dungass","NE0703",1982,330.41111106994,407.342876340949,80.9005343491786,-0.950942609834433
"Dungass","NE0703",1983,362.377152892885,407.342876340949,80.9005343491786,-0.555814912840804
"Dungass","NE0703",1984,232.917866282778,407.342876340949,80.9005343491786,-2.15604274386281
"Dungass","NE0703",1985,345.419212690234,407.342876340949,80.9005343491786,-0.765429600049894
"Dungass","NE0703",1986,360.978008614512,407.342876340949,80.9005343491786,-0.573109536289579
"Dungass","NE0703",1987,220.000053569074,407.342876340949,80.9005343491786,-2.3157179897388
"Dungass","NE0703",1988,465.71513648643,407.342876340949,80.9005343491786,0.721531206376691
"Dungass","NE0703",1989,373.890705959849,407.342876340949,80.9005343491786,-0.413497520754503
"Dungass","NE0703",1990,380.386459013901,407.342876340949,80.9005343491786,-0.333204441032487
"Dungass","NE0703",1991,403.290472657777,407.342876340949,80.9005343491786,-0.0500911856240738
"Dungass","NE0703",1992,428.781308515238,407.342876340949,80.9005343491786,0.26499741128728
"Dungass","NE0703",1993,407.189311549668,407.342876340949,80.9005343491786,-0.0018981925461471
"Dungass","NE0703",1994,536.599977683841,407.342876340949,80.9005343491786,1.59772864768729
"Dungass","NE0703",1995,429.276567411474,407.342876340949,80.9005343491786,0.271119236071496
"Dungass","NE0703",1996,370.385833476241,407.342876340949,80.9005343491786,-0.456820751086705
"Dungass","NE0703",1997,433.583503250591,407.342876340949,80.9005343491786,0.324356657477489
"Dungass","NE0703",1998,531.187004895515,407.342876340949,80.9005343491786,1.53081966084473
"Dungass","NE0703",1999,465.458579981193,407.342876340949,80.9005343491786,0.718359947901065
"Dungass","NE0703",2000,347.607065847177,407.342876340949,80.9005343491786,-0.73838585831761
"Dungass","NE0703",2001,432.488587742812,407.342876340949,80.9005343491786,0.310822562596817
"Dungass","NE0703",2002,437.797075607322,407.342876340949,80.9005343491786,0.376440026155182
"Dungass","NE0703",2003,598.201511981591,407.342876340949,80.9005343491786,2.3591764526161
"Dungass","NE0703",2004,394.60344837653,407.342876340949,80.9005343491786,-0.157470257358667
"Dungass","NE0703",2005,450.71308233454,407.342876340949,80.9005343491786,0.536092948489056
"Dungass","NE0703",2006,456.595250400078,407.342876340949,80.9005343491786,0.608801591427673
"Dungass","NE0703",2007,337.387291495619,407.342876340949,80.9005343491786,-0.864711035694662
"Dungass","NE0703",2008,442.360562400823,407.342876340949,80.9005343491786,0.432848637423492
"Dungass","NE0703",2009,334.430578816946,407.342876340949,80.9005343491786,-0.901258540633397
"Dungass","NE0703",2010,503.304223837377,407.342876340949,80.9005343491786,1.18616456947299
"Dungass","NE0703",2011,424.51465687924,407.342876340949,80.9005343491786,0.212257937187112
"Dungass","NE0703",2012,570.816979504473,407.342876340949,80.9005343491786,2.02068014109705
"Dungass","NE0703",2013,457.814882642205,407.342876340949,80.9005343491786,0.623877292125318
