"adm_03","rowcacode3","year","AnnualPrecip"
"Iferouane","NER001004001",1985,12.0605640656571
"Iferouane","NER001004001",1986,13.9456526719719
"Iferouane","NER001004001",1987,13.5177518414223
"Iferouane","NER001004001",1988,14.378078309001
"Iferouane","NER001004001",1989,16.0303076894252
"Iferouane","NER001004001",1990,11.5016969908078
"Iferouane","NER001004001",1991,14.6546197493463
"Iferouane","NER001004001",1992,15.6283340383636
"Iferouane","NER001004001",1993,12.7765014893499
"Iferouane","NER001004001",1994,15.789906399361
"Iferouane","NER001004001",1995,13.4021683303492
"Iferouane","NER001004001",1996,10.9655774053257
"Iferouane","NER001004001",1997,21.1083205562376
"Iferouane","NER001004001",1998,19.9280204770661
"Iferouane","NER001004001",1999,18.3729196923182
"Iferouane","NER001004001",2000,15.6418739353197
"Iferouane","NER001004001",2001,14.9745502003379
"Iferouane","NER001004001",2002,13.9881705262289
"Iferouane","NER001004001",2003,15.597815560191
"Iferouane","NER001004001",2004,13.5719110343999
"Iferouane","NER001004001",2005,12.8715780001791
"Iferouane","NER001004001",2006,13.8544380860919
"Iferouane","NER001004001",2007,15.0381021723504
"Iferouane","NER001004001",2008,14.0491400583651
"Iferouane","NER001004001",2009,13.8474493896521
"Iferouane","NER001004001",2010,16.0450727972717
"Iferouane","NER001004001",2011,13.774303271862
"Iferouane","NER001004001",2012,15.0712504475849
"Iferouane","NER001004001",2013,12.2192010957028
"Iferouane","NER001004001",2014,12.3127889291702
"Iferouane","NER001004001",2015,19.2141350221163
"Iferouane","NER001004001",2016,13.516142867566
"Iferouane","NER001004001",2017,15.9477911022984
"Iferouane","NER001004001",2018,19.3794766774167
"Iferouane","NER001004001",2019,18.141198394344
"Iferouane","NER001004001",2020,16.0703934400264
"Iferouane","NER001004001",2021,12.7869248320258
"Ingall","NER001005001",1981,100.821064299549
"Ingall","NER001005001",1982,86.199142956292
"Ingall","NER001005001",1983,87.4709614466703
"Ingall","NER001005001",1984,49.5733137738299
"Ingall","NER001005001",1985,94.4297138552589
"Ingall","NER001005001",1986,111.673199000926
"Ingall","NER001005001",1987,83.6581799880369
"Ingall","NER001005001",1988,128.371158656896
"Ingall","NER001005001",1989,119.883871029826
"Ingall","NER001005001",1990,73.0027122840215
"Ingall","NER001005001",1991,101.504548440342
"Ingall","NER001005001",1992,119.050182999087
"Ingall","NER001005001",1993,85.7319365886719
