"admin1Name","admin1Pcod","admin2Name","admin2Pcod","year","total_precip","median_precip","sd_precip"
"Agadez","NE01","Arlit","NE0102",NA,2033.36405222853,10.5540813383,999.10911306306
"Agadez","NE01","Arlit","NE0102",1991,48.321225934575,0.0604060895422771,1.76845724160906
"Agadez","NE01","Arlit","NE0102",1992,49.8917544432458,0.0663849481403577,1.55853919371388
"Agadez","NE01","Arlit","NE0102",1993,33.5351877267215,0.0623827259893263,0.757321220009588
"Agadez","NE01","Arlit","NE0102",1994,62.5909430835623,0.0606077615981069,2.10752382198585
"Agadez","NE01","Arlit","NE0102",1995,43.7674481482023,0.0611335555689023,1.37280124254977
"Agadez","NE01","Arlit","NE0102",1996,28.0935679082731,0.06237571452396,0.559453544438629
"Agadez","NE01","Arlit","NE0102",1997,78.886965517377,0.0602321537239879,2.96536023188296
"Agadez","NE01","Arlit","NE0102",1998,84.8257756691255,0.0603637469275425,2.84533823524796
"Agadez","NE01","Arlit","NE0102",1999,77.854591509165,0.0605062010163309,3.08745454280521
"Agadez","NE01","Arlit","NE0102",2000,50.593143672142,0.0623818201577189,1.67905793176219
"Agadez","NE01","Arlit","NE0102",2001,56.3214977023436,0.0622717877756628,1.80965231889358
