"admin2Name","admin2Pcod","year","yeartotal_precip","baselineMean_precip","baselineSD_precip","zscore_precip"
"Ingall","NE0105",2016,97.3971572564843,93.3530180163847,26.8456369131287,0.150644190457701
"Ingall","NE0105",2017,81.1656976095226,93.3530180163847,26.8456369131287,-0.45397769649868
"Ingall","NE0105",2018,140.871226516532,93.3530180163847,26.8456369131287,1.77005331085696
"Ingall","NE0105",2019,108.892292628234,93.3530180163847,26.8456369131287,0.578837993754224
"Ingall","NE0105",2020,128.345178270457,93.3530180163847,26.8456369131287,1.30345800203233
"Ingall","NE0105",2021,113.519314403867,93.3530180163847,26.8456369131287,0.751194559203026
"Tchirozerine","NE0106",1981,97.0007597639709,77.3676643318286,26.1712678964463,0.750177465983917
"Tchirozerine","NE0106",1982,78.0815068649846,77.3676643318286,26.1712678964463,0.0272758100975683
"Tchirozerine","NE0106",1983,63.2843540623277,77.3676643318286,26.1712678964463,-0.538121054173813
"Tchirozerine","NE0106",1984,37.9611353217638,77.3676643318286,26.1712678964463,-1.50571723028427
"Tchirozerine","NE0106",1985,56.7988651286605,77.3676643318286,26.1712678964463,-0.785930558830933
"Tchirozerine","NE0106",1986,80.9778790763094,77.3676643318286,26.1712678964463,0.137945733419014
"Tchirozerine","NE0106",1987,51.5144729795437,77.3676643318286,26.1712678964463,-0.987846345640571
"Tchirozerine","NE0106",1988,123.962109686121,77.3676643318286,26.1712678964463,1.78036637501308
"Tchirozerine","NE0106",1989,95.0487187135641,77.3676643318286,26.1712678964463,0.675590286710428
"Tchirozerine","NE0106",1990,52.0233737809308,77.3676643318286,26.1712678964463,-0.968401326644906
"Tchirozerine","NE0106",1991,66.0250725192021,77.3676643318286,26.1712678964463,-0.433398636149633
"Tchirozerine","NE0106",1992,59.0788602021562,77.3676643318286,26.1712678964463,-0.698812308293086
"Tchirozerine","NE0106",1993,55.6256938151593,77.3676643318286,26.1712678964463,-0.83075724885387
"Tchirozerine","NE0106",1994,111.867094653856,77.3676643318286,26.1712678964463,1.31821776684773
"Tchirozerine","NE0106",1995,42.5235359643899,77.3676643318286,26.1712678964463,-1.33138862455227
"Tchirozerine","NE0106",1996,52.7047849787536,77.3676643318286,26.1712678964463,-0.942364712732312
"Tchirozerine","NE0106",1997,104.109529686735,77.3676643318286,26.1712678964463,1.02180243848779
"Tchirozerine","NE0106",1998,135.817197132885,77.3676643318286,26.1712678964463,2.23334738814824
"Tchirozerine","NE0106",1999,137.829384437743,77.3676643318286,26.1712678964463,2.31023274627531
"Tchirozerine","NE0106",2000,61.2535579034988,77.3676643318286,26.1712678964463,-0.61571745366291
"Tchirozerine","NE0106",2001,63.4129301314176,77.3676643318286,26.1712678964463,-0.53320818294424
"Tchirozerine","NE0106",2002,94.7523297096918,77.3676643318286,26.1712678964463,0.664265309829479
"Tchirozerine","NE0106",2003,91.9235789653403,77.3676643318286,26.1712678964463,0.556179192047789
"Tchirozerine","NE0106",2004,63.5797452369693,77.3676643318286,26.1712678964463,-0.526834204189685
"Tchirozerine","NE0106",2005,64.9020545610908,77.3676643318286,26.1712678964463,-0.476308974408936
"Tchirozerine","NE0106",2006,65.5537140936729,77.3676643318286,26.1712678964463,-0.451409166911621
"Tchirozerine","NE0106",2007,76.3834720340338,77.3676643318286,26.1712678964463,-0.0376058317728052
"Tchirozerine","NE0106",2008,69.0075316548405,77.3676643318286,26.1712678964463,-0.319439345088945
"Tchirozerine","NE0106",2009,75.4352936015546,77.3676643318286,26.1712678964463,-0.073835579457591
"Tchirozerine","NE0106",2010,92.5913932936922,77.3676643318286,26.1712678964463,0.581696271732054
"Tchirozerine","NE0106",2011,68.3151580811123,77.3676643318286,26.1712678964463,-0.345894829648107
"Tchirozerine","NE0106",2012,79.8291020933911,77.3676643318286,26.1712678964463,0.0940511469028515
"Tchirozerine","NE0106",2013,59.9604720382705,77.3676643318286,26.1712678964463,-0.665126059709233
"Tchirozerine","NE0106",2014,54.590351910894,77.3676643318286,26.1712678964463,-0.870317498986263
"Tchirozerine","NE0106",2015,103.907965989699,77.3676643318286,26.1712678964463,1.01410072155788
"Tchirozerine","NE0106",2016,68.3984588422745,77.3676643318286,26.1712678964463,-0.34271192076147
"Tchirozerine","NE0106",2017,61.5093033746869,77.3676643318286,26.1712678964463,-0.605945459726661
"Tchirozerine","NE0106",2018,98.7344309798749,77.3676643318286,26.1712678964463,0.816420768477467
"Tchirozerine","NE0106",2019,96.4346991235988,77.3676643318286,26.1712678964463,0.728548378596488
"Tchirozerine","NE0106",2020,103.47675894154,77.3676643318286,26.1712678964463,0.997624368564008
"Tchirozerine","NE0106",2021,68.3162427499421,77.3676643318286,26.1712678964463,-0.345853384623966
